,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],81.30081300813008
Equity Final [$],9004763.699999997
Equity Peak [$],10652070.399999999
Return [%],-9.952363000000027
Buy & Hold Return [%],-20.437956204379564
Return (Ann.) [%],-10.182308316763756
Volatility (Ann.) [%],22.303291261524592
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-19.698580850535883
Avg. Drawdown [%],-14.316904369381934
Max. Drawdown Duration,262 days 00:00:00
Avg. Drawdown Duration,147 days 00:00:00
# Trades,9
Win Rate [%],33.33333333333333
Best Trade [%],2.1253338398266486
Worst Trade [%],-5.766978439814596
Avg. Trade [%],-1.161320185884207
Max. Trade Duration,93 days 00:00:00
Avg. Trade Duration,33 days 00:00:00
Profit Factor,0.30237637138723106
Expectancy [%],-1.133269262675396
SQN,-1.3708119644267818
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   8564013.7     0.196024              NaT
2023-09-12   9004763.7     0.154647              NaT
2023-09-13   9291763.7     0.127704              NaT
2023-09-14   8963763.7     0.158496              NaT
2023-09-15   9004763.7     0.154647         262 days

[246 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice       PnL  ReturnPct  EntryTime   ExitTime Duration
0   192        46       75     52003.8    51700.0  -58329.6  -0.005842 2022-11-22 2023-01-03  42 days
1  -192        75       82     51596.6    50500.0  210547.2   0.021253 2023-01-03 2023-01-12   9 days
2   200        82       86     50601.0    49700.0 -180200.0  -0.017806 2023-01-12 2023-01-18   6 days
3  -201        86      111     49600.6    50200.0 -120479.4  -0.012085 2023-01-18 2023-02-24  37 days
4   195       111      116     50300.4    49350.0 -185328.0  -0.018894 2023-02-24 2023-03-06  10 days
5  -196       116      178     49251.3    48400.0  166854.8   0.017285 2023-03-06 2023-06-07  93 days
6   202       178      188     48496.8    45700.0 -564953.6  -0.057670 2023-06-07 2023-06-21  14 days
7  -203       188      230     45608.6    45350.0   52495.8   0.005670 2023-06-21 2023-08-25  65 days
8   205       230      245     45440.7    43900.0 -315843.5  -0.033906 2023-08-25 2023-09-15  21 days"
