Date,Open,High,Low,Close
2022-09-15,228400.0,232400.0,224200.0,230000.0
2022-09-16,227900.0,236700.0,226800.0,228500.0
2022-09-19,228600.0,230400.0,216300.0,216700.0
2022-09-20,220200.0,221000.0,213100.0,214900.0
2022-09-21,213800.0,215700.0,211400.0,215000.0
2022-09-22,212000.0,220900.0,210600.0,220700.0
2022-09-23,220500.0,220500.0,200400.0,203700.0
2022-09-26,196900.0,198800.0,187000.0,187100.0
2022-09-27,187100.0,192900.0,183400.0,192700.0
2022-09-28,191000.0,192400.0,182000.0,183100.0
2022-09-29,188000.0,188600.0,182700.0,182800.0
2022-09-30,178600.0,182600.0,174200.0,177700.0
2022-10-04,178800.0,181800.0,174800.0,181400.0
2022-10-05,187100.0,187300.0,178300.0,179500.0
2022-10-06,181000.0,195000.0,181000.0,195000.0
2022-10-07,191200.0,202200.0,190000.0,196000.0
2022-10-11,190600.0,196600.0,188500.0,193500.0
2022-10-12,194500.0,197600.0,189800.0,194800.0
2022-10-13,194900.0,196300.0,192500.0,196000.0
2022-10-14,200700.0,202100.0,196100.0,196300.0
2022-10-17,192400.0,204900.0,191500.0,204300.0
2022-10-18,207100.0,209700.0,201500.0,208800.0
2022-10-19,208800.0,223000.0,205900.0,217100.0
2022-10-20,215100.0,216000.0,202700.0,205000.0
2022-10-21,204000.0,209000.0,201100.0,203500.0
2022-10-24,209000.0,213000.0,208700.0,211400.0
2022-10-25,212300.0,214800.0,203000.0,204300.0
2022-10-26,207700.0,210400.0,205700.0,207500.0
2022-10-27,210400.0,215000.0,210400.0,214500.0
2022-10-28,213100.0,226500.0,211800.0,224300.0
2022-10-31,226000.0,227500.0,220200.0,225000.0
2022-11-01,225000.0,230900.0,224900.0,228800.0
2022-11-02,227000.0,230100.0,213600.0,216000.0
2022-11-03,209100.0,218600.0,208200.0,216500.0
2022-11-04,216200.0,222400.0,213000.0,221000.0
2022-11-07,221400.0,221500.0,214100.0,216900.0
2022-11-08,217800.0,219400.0,209400.0,218500.0
2022-11-09,217000.0,227600.0,216000.0,225100.0
2022-11-10,225500.0,232800.0,222500.0,222500.0
2022-11-11,234700.0,238500.0,228900.0,231600.0
2022-11-14,235900.0,236400.0,225100.0,229000.0
2022-11-15,229200.0,232300.0,228000.0,230700.0
2022-11-16,231800.0,234500.0,227000.0,231800.0
2022-11-17,230000.0,230500.0,224200.0,224700.0
2022-11-18,224200.0,224900.0,217400.0,219600.0
2022-11-21,219600.0,220100.0,211300.0,212700.0
2022-11-22,210200.0,210900.0,200100.0,200500.0
