,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],76.0
Equity Final [$],8921051.6
Equity Peak [$],13198964.6
Return [%],-10.789484000000003
Buy & Hold Return [%],-15.695652173913043
Return (Ann.) [%],-10.870929016447173
Volatility (Ann.) [%],55.35179427720763
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-51.61702608097002
Avg. Drawdown [%],-14.573975730918429
Max. Drawdown Duration,149 days 00:00:00
Avg. Drawdown Duration,40 days 00:00:00
# Trades,7
Win Rate [%],42.857142857142854
Best Trade [%],14.444273161708033
Worst Trade [%],-14.642752100729606
Avg. Trade [%],-1.6403334373776945
Max. Trade Duration,98 days 00:00:00
Avg. Trade Duration,40 days 00:00:00
Profit Factor,0.7569978789151495
Expectancy [%],-1.188431510028533
SQN,-0.45547710905786726
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   8795051.6     0.333656              NaT
2023-09-12   8679551.6     0.342407              NaT
2023-09-13   8963051.6     0.320928              NaT
2023-09-14   8914051.6     0.324640              NaT
2023-09-15   8921051.6     0.324110         149 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0   -52        60       96    189719.8   217500.0 -1444570.4  -0.146428 2022-12-12 2023-02-03  53 days
1    39        96      163    217935.0   236000.0   704535.0   0.082892 2023-02-03 2023-05-12  98 days
2   -39       163      189    235528.0   255500.0  -778908.0  -0.084797 2023-05-12 2023-06-21  40 days
3    33       189      201    256011.0   237000.0  -627363.0  -0.074259 2023-06-21 2023-07-07  16 days
4   -33       201      225    236526.0   229000.0   248358.0   0.031819 2023-07-07 2023-08-11  35 days
5    35       225      229    229458.0   221000.0  -296030.0  -0.036861 2023-08-11 2023-08-18   7 days
6   -35       229      249    220558.0   188700.0  1115030.0   0.144443 2023-08-18 2023-09-15  28 days"
