Date,Open,High,Low,Close
2022-09-15,3950.0,3955.0,3915.0,3920.0
2022-09-16,3870.0,3915.0,3825.0,3835.0
2022-09-19,3805.0,3845.0,3670.0,3670.0
2022-09-20,3695.0,3815.0,3695.0,3780.0
2022-09-21,3720.0,3855.0,3720.0,3855.0
2022-09-22,3800.0,3800.0,3670.0,3750.0
2022-09-23,3720.0,3745.0,3530.0,3585.0
2022-09-26,3470.0,3515.0,3365.0,3390.0
2022-09-27,3340.0,3510.0,3335.0,3430.0
2022-09-28,3430.0,3445.0,3230.0,3350.0
2022-09-29,3395.0,3440.0,3225.0,3225.0
2022-09-30,3180.0,3245.0,3120.0,3160.0
2022-10-04,3260.0,3350.0,3220.0,3335.0
2022-10-05,3410.0,3410.0,3130.0,3170.0
2022-10-06,3205.0,3305.0,3200.0,3270.0
2022-10-07,3230.0,3265.0,3145.0,3165.0
2022-10-11,3055.0,3150.0,2935.0,2955.0
2022-10-12,2955.0,3015.0,2930.0,3010.0
2022-10-13,3010.0,3015.0,2860.0,2865.0
2022-10-14,2925.0,3010.0,2925.0,3005.0
2022-10-17,2915.0,3010.0,2910.0,3005.0
2022-10-18,3055.0,3120.0,3025.0,3085.0
2022-10-19,3090.0,3150.0,3050.0,3055.0
2022-10-20,3035.0,3095.0,3020.0,3055.0
2022-10-21,3065.0,3165.0,2990.0,2990.0
2022-10-24,3040.0,3120.0,3040.0,3065.0
2022-10-25,3070.0,3115.0,3015.0,3075.0
2022-10-26,3080.0,3105.0,3055.0,3060.0
2022-10-27,3070.0,3115.0,3055.0,3105.0
2022-10-28,3105.0,3110.0,2990.0,2995.0
2022-10-31,3015.0,3035.0,2965.0,3000.0
2022-11-01,3015.0,3130.0,3000.0,3115.0
2022-11-02,3120.0,3120.0,3065.0,3115.0
2022-11-03,3070.0,3070.0,3010.0,3035.0
2022-11-04,3010.0,3055.0,2975.0,3035.0
2022-11-07,3045.0,3150.0,3040.0,3135.0
2022-11-08,3165.0,3200.0,3150.0,3200.0
2022-11-09,3210.0,3225.0,3155.0,3155.0
2022-11-10,3145.0,3245.0,3085.0,3190.0
2022-11-11,3290.0,3320.0,3215.0,3260.0
2022-11-14,3270.0,3380.0,3270.0,3350.0
2022-11-15,3345.0,3355.0,3280.0,3330.0
2022-11-16,3340.0,3380.0,3260.0,3355.0
2022-11-17,3330.0,3340.0,3250.0,3270.0
2022-11-18,3275.0,3330.0,3250.0,3250.0
2022-11-21,3295.0,3295.0,3160.0,3170.0
2022-11-22,3270.0,3330.0,3190.0,3200.0
2022-11-23,3270.0,3360.0,3240.0,3310.0
2022-11-24,3320.0,3390.0,3285.0,3345.0
2022-11-25,3350.0,3520.0,3315.0,3490.0
2022-11-28,3490.0,3490.0,3245.0,3250.0
2022-11-29,3235.0,3280.0,3195.0,3280.0
2022-11-30,3270.0,3350.0,3255.0,3310.0
2022-12-01,3365.0,3425.0,3365.0,3390.0
2022-12-02,3400.0,3400.0,3290.0,3300.0
2022-12-05,3295.0,3340.0,3285.0,3310.0
2022-12-06,3295.0,3295.0,3195.0,3200.0
2022-12-07,3155.0,3180.0,3125.0,3130.0
2022-12-08,3100.0,3140.0,3065.0,3065.0
2022-12-09,3075.0,3160.0,3065.0,3155.0
2022-12-12,3150.0,3155.0,3060.0,3065.0
2022-12-13,3070.0,3110.0,3045.0,3050.0
2022-12-14,3060.0,3125.0,3050.0,3110.0
2022-12-15,3080.0,3150.0,3070.0,3075.0
2022-12-16,3025.0,3060.0,3000.0,3030.0
2022-12-19,3030.0,3060.0,2995.0,3035.0
2022-12-20,3035.0,3060.0,2950.0,2960.0
