,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],78.63247863247864
Equity Final [$],5157875.880000001
Equity Peak [$],12062501.5
Return [%],-48.42124119999999
Buy & Hold Return [%],179.78142076502732
Return (Ann.) [%],-50.98226236884733
Volatility (Ann.) [%],51.99807768453994
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-73.07910071555224
Avg. Drawdown [%],-23.986569355488324
Max. Drawdown Duration,240 days 00:00:00
Avg. Drawdown Duration,67 days 00:00:00
# Trades,7
Win Rate [%],42.857142857142854
Best Trade [%],39.879759519038075
Worst Trade [%],-47.28440461846289
Avg. Trade [%],-9.034405814833146
Max. Trade Duration,63 days 00:00:00
Avg. Trade Duration,39 days 00:00:00
Profit Factor,0.567582411942617
Expectancy [%],-5.595399419065261
SQN,-0.9885670361329538
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.00     0.000000              NaT
2022-09-16  10000000.00     0.000000              NaT
2022-09-19  10000000.00     0.000000              NaT
2022-09-20  10000000.00     0.000000              NaT
2022-09-21  10000000.00     0.000000              NaT
...                 ...          ...              ...
2023-09-11   5170195.88     0.571383              NaT
2023-09-12   5205395.88     0.568465              NaT
2023-09-13   5219475.88     0.567297              NaT
2023-09-14   5152595.88     0.572842              NaT
2023-09-15   5157875.88     0.572404         240 days

[234 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration
0  -605        50       68    16516.90    15500.0   615224.50   0.061567 2022-12-20 2023-01-16  27 days
1   683        68       88    15531.00    12790.0 -1872103.00  -0.176486 2023-01-16 2023-02-15  30 days
2  -684        88      114    12764.42    18800.0 -4128336.72  -0.472844 2023-02-15 2023-03-24  37 days
3   244       114      149    18837.60    19850.0   247025.60   0.053744 2023-03-24 2023-05-16  53 days
4  -245       149      172    19810.30    23050.0  -793726.50  -0.163536 2023-05-16 2023-06-20  35 days
5   176       172      189    23096.10    20950.0  -377713.60  -0.092920 2023-06-20 2023-07-14  24 days
6  -176       189      233    20908.10    12570.0  1467505.60   0.398798 2023-07-14 2023-09-15  63 days"
