,0
Start,2022-09-15 00:00:00
End,2023-09-15 00:00:00
Duration,365 days 00:00:00
Exposure Time [%],72.39999999999999
Equity Final [$],5803452.799999998
Equity Peak [$],11435403.2
Return [%],-41.96547200000002
Buy & Hold Return [%],39.17910447761194
Return (Ann.) [%],-42.217550515875566
Volatility (Ann.) [%],23.550316468311273
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-50.93443666245192
Avg. Drawdown [%],-18.43322098756387
Max. Drawdown Duration,149 days 00:00:00
Avg. Drawdown Duration,64 days 00:00:00
# Trades,9
Win Rate [%],22.22222222222222
Best Trade [%],11.740804106073565
Worst Trade [%],-23.06771218786121
Avg. Trade [%],-5.910459648227384
Max. Trade Duration,95 days 00:00:00
Avg. Trade Duration,30 days 00:00:00
Profit Factor,0.2531883868941255
Expectancy [%],-5.376353060518257
SQN,-1.4727181440284551
_strategy,SmaCross
_equity_curve,"                Equity  DrawdownPct DrawdownDuration
2022-09-15  10000000.0     0.000000              NaT
2022-09-16  10000000.0     0.000000              NaT
2022-09-19  10000000.0     0.000000              NaT
2022-09-20  10000000.0     0.000000              NaT
2022-09-21  10000000.0     0.000000              NaT
...                ...          ...              ...
2023-09-11   5891645.0     0.484789              NaT
2023-09-12   6246979.4     0.453716              NaT
2023-09-13   5878392.2     0.485948              NaT
2023-09-14   5811352.8     0.491810              NaT
2023-09-15   5803452.8     0.492501         149 days

[250 rows x 3 columns]"
_trades,"   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration
0  -191        69      102     52295.2    56000.0  -707616.8  -0.070844 2022-12-23 2023-02-13  52 days
1   165       102      168     56112.0    62700.0  1087020.0   0.117408 2023-02-13 2023-05-19  95 days
2  -165       168      179     62574.6    73700.0 -1835691.0  -0.177794 2023-05-19 2023-06-07  19 days
3   115       179      212     73847.4    72300.0  -177951.0  -0.020954 2023-06-07 2023-07-25  48 days
4  -115       212      218     72155.4    88800.0 -1914129.0  -0.230677 2023-07-25 2023-08-02   8 days
5    72       218      246     88977.6    82400.0  -473587.2  -0.073924 2023-08-02 2023-09-12  41 days
6   -72       246      247     82235.2    78400.0   276134.4   0.046637 2023-09-12 2023-09-13   1 days
7    79       247      248     78556.8    74300.0  -336287.2  -0.054188 2023-09-13 2023-09-14   1 days
8   -79       248      249     74151.4    75600.0  -114439.4  -0.019536 2023-09-14 2023-09-15   1 days"
